Date/time,Position latitude,Postion longitude,Magnetic field strenght X,Magnetic field strenght Y,Magnetic field strenght Z,luminosity
00:50:52.680334,46.16118057412034,110.68962161218228,9.535964012145996,-12.331249237060547,33.95362854003906,0
2022-04-18 00:50:53.711259,46.19115698253521,110.77119330515045,9.59363842010498,-12.289067268371582,33.884334564208984,0
2022-04-18 00:50:54.742337,46.221065250615894,110.85284861661138,9.522815704345703,-12.273713111877441,33.83131408691406,0
2022-04-18 00:50:55.772901,46.2508906079392,110.9345472955542,9.648231506347656,-12.28160285949707,33.861305236816406,0
2022-04-18 00:50:56.803706,46.280657844655224,111.01635746120316,9.485146522521973,-12.409294128417969,33.7449951171875,0
2022-04-18 00:50:57.834744,46.31036796081331,111.0982824307816,9.500397682189941,-12.384913444519043,33.86548614501953,0
2022-04-18 00:50:58.865806,46.34000999838314,111.18029242518065,9.57637882232666,-12.355722427368164,33.989070892333984,0
2022-04-18 00:50:59.896731,46.369584098224976,111.26238812639329,9.58021354675293,-12.399148941040039,34.20823287963867,0
2022-04-18 00:51:00.927964,46.399094401935535,111.34458138649715,9.470146179199219,-12.391812324523926,34.16012954711914,0
2022-04-18 00:51:01.959240,46.428556282201185,111.42691565556268,9.371443748474121,-12.389443397521973,34.19459533691406,0
2022-04-18 00:51:02.990162,46.45793968434028,111.50930737498491,9.25654411315918,-12.439990043640137,34.27785110473633,0
2022-04-18 00:51:04.021106,46.487248732236985,111.59176817759774,9.191927909851074,-12.499279975891113,34.273712158203125,0
2022-04-18 00:51:05.052413,46.516510692358644,111.67437529647319,9.157220840454102,-12.580282211303711,34.26154327392578,0
2022-04-18 00:51:06.083670,46.545699967187325,111.7570570171524,9.167346000671387,-12.662771224975586,34.2459831237793,0
2022-04-18 00:51:07.115134,46.57482213428308,111.83982940391073,9.281542778015137,-12.701061248779297,34.144798278808594,0
2022-04-18 00:51:08.146288,46.603883085371535,111.9227096375222,9.12651252746582,-12.703824043273926,34.00518798828125,0
2022-04-18 00:51:09.177921,46.63286254273857,112.00564011601948,9.105661392211914,-12.764759063720703,33.85427474975586,0
2022-04-18 00:51:10.209394,46.66180678129672,112.08875387985708,9.083307266235352,-12.80859088897705,33.94187927246094,0
2022-04-18 00:51:11.240246,46.69065971351053,112.17189034817352,9.124781608581543,-12.866473197937012,34.04927062988281,0
2022-04-18 00:51:12.271130,46.71943944171736,112.2551015973312,9.092120170593262,-12.850791931152344,34.12577438354492,0
2022-04-18 00:51:13.302133,46.74815547062044,112.33841543730124,9.070725440979004,-13.000149726867676,34.05906677246094,0
2022-04-18 00:51:14.333059,46.7768021997472,112.4218160106211,8.980461120605469,-12.990435600280762,34.05183792114258,0
2022-04-18 00:51:16.115987,46.826177075408815,112.56624512239274,8.914299964904785,-13.009134292602539,34.09415054321289,0
2022-04-18 00:51:17.147196,46.85465201373856,112.64993508576927,8.943541526794434,-13.09727954864502,34.147972106933594,0
2022-04-18 00:51:18.178210,46.88305240659288,112.733697819976,8.84251880645752,-13.110414505004883,34.14371109008789,0
2022-04-18 00:51:19.209457,46.9113801139204,112.8175390044245,8.844470977783203,-13.215677261352539,34.17603302001953,0
2022-04-18 00:51:20.240411,46.93964644993028,112.90149252744669,8.945111274719238,-13.218832969665527,34.281978607177734,0
2022-04-18 00:51:21.271456,46.967841916090514,112.9855306121996,8.94096851348877,-13.057463645935059,34.23786163330078,0
2022-04-18 00:51:22.302437,46.99596819308409,113.06965858474157,8.904366493225098,-12.88723087310791,34.28190994262695,0
2022-04-18 00:51:23.333335,47.024021861590576,113.15386651038804,8.86280345916748,-12.878945350646973,34.217037200927734,0
2022-04-18 00:51:24.364332,47.05200926798099,113.23817378222252,8.842306137084961,-12.757672309875488,34.16490936279297,0
2022-04-18 00:51:25.395393,47.079928635523075,113.32257546900031,8.727117538452148,-12.758766174316406,34.256378173828125,0
2022-04-18 00:51:26.427039,47.10778408491117,113.4070844919143,8.751213073730469,-12.718012809753418,34.384437561035156,0
2022-04-18 00:51:27.458780,47.135577487679726,113.49170709632325,8.614581108093262,-12.081788063049316,34.33245086669922,0
2022-04-18 00:51:28.490080,47.163316466482996,113.5764672212802,8.640000343322754,-12.18183708190918,34.42085647583008,0
2022-04-18 00:51:29.521072,47.19095841061315,113.66123482515492,8.465291023254395,-12.353196144104004,34.55738830566406,0
2022-04-18 00:51:30.552074,47.21853405482789,113.74610412789974,8.402274131774902,-12.36264419555664,34.35832214355469,0
2022-04-18 00:51:31.582896,47.24603295441031,113.83104328919626,8.517556190490723,-12.381697654724121,34.39066696166992,0
2022-04-18 00:51:32.613891,47.273466321591066,113.91608726422425,8.646506309509277,-12.568340301513672,34.63454055786133,0
2022-04-18 00:51:33.644864,47.30083030333139,114.00122455923575,8.680164337158203,-12.70562744140625,34.5460205078125,0
2022-04-18 00:51:34.675634,47.32811886328611,114.08643668161855,8.79610538482666,-12.756026268005371,34.554832458496094,0
2022-04-18 00:51:35.707550,47.355339976418364,114.17174885974623,8.756173133850098,-12.828429222106934,34.66407012939453,0
2022-04-18 00:51:36.738590,47.38252002583564,114.25724470179948,8.529266357421875,-12.795408248901367,34.88341522216797,0
2022-04-18 00:51:37.769559,47.40960570482095,114.34275699465636,8.408282279968262,-12.818582534790039,34.64401626586914,0
2022-04-18 00:51:38.800533,47.43661551040666,114.42834400078183,8.436872482299805,-12.744283676147461,34.60312271118164,0
2022-04-18 00:51:39.831582,47.463559447767594,114.51403778830537,8.417609214782715,-12.689338684082031,34.078182220458984,0
